BEGIN
SET
         team         | h_div |  site   |         opp         | v_div | t_score | o_score 
 Ohio Northern        |     3 | home    | Capital             |     3 |    81.2 |    70.7
 Ohio St.             |     1 | home    | Rutgers             |     1 |    69.7 |    56.1
 Ohio Wesleyan        |     3 | home    | Wabash              |     3 |    83.6 |    69.0
 Pace                 |     2 | home    | Saint Rose          |     2 |    65.8 |    74.6
 Piedmont             |     3 | home    | Covenant            |     3 |    75.8 |    74.7
 RIT                  |     3 | home    | Vassar              |     3 |    67.1 |    65.5
 Roger Williams       |     3 | home    | U New England       |     3 |   106.2 |    90.0
 Saint Vincent        |     3 | home    | Geneva              |     3 |    69.4 |    62.2
 Salisbury            |     3 | home    | Wesley              |     3 |    79.5 |    69.1
 Simpson              |     3 | home    | Wartburg            |     3 |    79.0 |    76.4
 Southeastern Okla.   |     2 | home    | East Central        |     2 |    78.2 |    77.5
 St. Anselm           |     2 | home    | Stonehill           |     2 |    84.3 |    74.7
 St. Joseph's (ME)    |     3 | home    | Suffolk             |     3 |    67.1 |    63.0
 SUNY Cortland        |     3 | home    | SUNY Oneonta        |     3 |    77.8 |    66.2
 SUNY Geneseo         |     3 | home    | Oswego St.          |     3 |    71.4 |    68.0
 SUNY Poly            |     3 | home    | Keuka               |     3 |    77.6 |    66.8
 Texas A&M            |     1 | home    | Mississippi St.     |     1 |    71.5 |    64.2
 Thomas (ME)          |     3 | home    | Me.-Farmington      |     3 |    74.3 |    72.8
 Thomas More          |     3 | home    | Thiel               |     3 |    74.2 |    59.5
 UMass Boston         |     3 | home    | Rhode Island Col.   |     3 |    70.1 |    63.2
 Ursinus              |     3 | home    | Dickinson           |     3 |    72.6 |    69.7
 Valparaiso           |     1 | home    | UNI                 |     1 |    62.7 |    61.4
 Va. Wesleyan         |     3 | home    | Randolph            |     3 |    74.8 |    60.2
 Western Conn. St.    |     3 | home    | UMass Dartmouth     |     3 |    83.3 |    80.7
 Western Mich.        |     1 | home    | Central Mich.       |     1 |    74.8 |    71.7
 Westminster (PA)     |     3 | home    | Grove City          |     3 |    69.8 |    61.9
 Whittier             |     3 | home    | Pomona-Pitzer       |     3 |    77.8 |    83.6
 Wilson               |     3 | home    | Gallaudet           |     3 |    83.4 |    70.8
 Wittenberg           |     3 | home    | Oberlin             |     3 |    82.2 |    62.0
 Wofford              |     1 | home    | UNCG                |     1 |    64.6 |    68.1
 Wooster              |     3 | home    | DePauw              |     3 |    74.7 |    64.8
 Wyoming              |     1 | home    | New Mexico          |     1 |    80.4 |    77.0
 Yeshiva              |     3 | home    | Mt. St. Mary (NY)   |     3 |    76.9 |    67.5
(107 rows)

COMMIT
